,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,performance
341,TMF011,4,VES,2023-12-21,60.0,88.0,420.0,0.20952380952380953
342,TMF011,4,NOT,2023-12-22,0.0,104.0,480.0,0.21666666666666667
343,TMF011,4,MAT,2023-12-22,60.0,150.0,420.0,0.35714285714285715
344,TMF011,4,VES,2023-12-22,60.0,126.0,420.0,0.3
345,TMF011,4,NOT,2023-12-23,0.0,218.0,480.0,0.45416666666666666
346,TMF011,4,MAT,2023-12-23,60.0,108.0,420.0,0.2571428571428571
347,TMF011,4,VES,2023-12-23,0.0,480.0,480.0,1.0
348,TMF011,4,NOT,2023-12-24,0.0,0.0,480.0,0.0
349,TMF011,4,MAT,2023-12-24,0.0,0.0,480.0,0.0
350,TMF011,4,VES,2023-12-24,0.0,0.0,480.0,0.0
351,TMF011,4,NOT,2023-12-25,0.0,0.0,480.0,0.0
352,TMF011,4,MAT,2023-12-25,0.0,0.0,480.0,0.0
353,TMF011,4,VES,2023-12-25,0.0,0.0,480.0,0.0
354,TMF011,4,NOT,2023-12-26,0.0,0.0,480.0,0.0
355,TMF011,4,MAT,2023-12-26,0.0,88.0,480.0,0.18333333333333332
