,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,reparo
226,TMF015,3,MAT,2023-12-14,0.0,20.0,480.0,0.041666666666666664
227,TMF015,3,VES,2023-12-14,0.0,0.0,480.0,0.0
228,TMF015,3,NOT,2023-12-15,0.0,0.0,480.0,0.0
229,TMF015,3,MAT,2023-12-15,0.0,4.0,480.0,0.008333333333333333
230,TMF015,3,VES,2023-12-15,0.0,0.0,480.0,0.0
231,TMF015,3,NOT,2023-12-16,0.0,0.0,480.0,0.0
232,TMF015,3,MAT,2023-12-16,0.0,16.0,480.0,0.03333333333333333
233,TMF015,3,VES,2023-12-16,0.0,0.0,480.0,0.0
234,TMF015,3,NOT,2023-12-17,0.0,0.0,480.0,0.0
235,TMF015,3,MAT,2023-12-17,0.0,0.0,480.0,0.0
236,TMF015,3,VES,2023-12-17,0.0,480.0,480.0,1.0
237,TMF015,3,NOT,2023-12-18,0.0,0.0,480.0,0.0
238,TMF015,3,MAT,2023-12-18,0.0,2.0,480.0,0.004166666666666667
239,TMF015,3,VES,2023-12-18,0.0,52.0,480.0,0.10833333333333334
240,TMF015,3,NOT,2023-12-19,0.0,0.0,480.0,0.0
241,TMF015,3,MAT,2023-12-19,0.0,126.0,480.0,0.2625
242,TMF015,3,VES,2023-12-19,0.0,0.0,480.0,0.0
243,TMF015,3,NOT,2023-12-20,0.0,0.0,480.0,0.0
244,TMF015,3,MAT,2023-12-20,0.0,106.0,480.0,0.22083333333333333
245,TMF015,3,VES,2023-12-20,0.0,0.0,480.0,0.0
246,TMF015,3,NOT,2023-12-21,0.0,0.0,480.0,0.0
247,TMF015,3,MAT,2023-12-21,0.0,26.0,480.0,0.05416666666666667
248,TMF015,3,VES,2023-12-21,0.0,0.0,480.0,0.0
249,TMF015,3,NOT,2023-12-22,0.0,0.0,480.0,0.0
250,TMF015,3,MAT,2023-12-22,0.0,38.0,480.0,0.07916666666666666
251,TMF015,3,VES,2023-12-22,0.0,0.0,480.0,0.0
252,TMF015,3,NOT,2023-12-23,0.0,0.0,480.0,0.0
253,TMF015,3,MAT,2023-12-23,0.0,28.0,480.0,0.058333333333333334
254,TMF015,3,VES,2023-12-23,0.0,0.0,480.0,0.0
255,TMF015,3,NOT,2023-12-24,0.0,0.0,480.0,0.0
256,TMF015,3,MAT,2023-12-24,0.0,0.0,480.0,0.0
257,TMF015,3,VES,2023-12-24,0.0,0.0,480.0,0.0
258,TMF015,3,NOT,2023-12-25,0.0,0.0,480.0,0.0
259,TMF015,3,MAT,2023-12-25,0.0,0.0,480.0,0.0
260,TMF015,3,VES,2023-12-25,0.0,0.0,480.0,0.0
261,TMF015,3,NOT,2023-12-26,0.0,0.0,480.0,0.0
262,TMF015,3,MAT,2023-12-26,0.0,52.0,480.0,0.10833333333333334
263,TMF015,3,VES,2023-12-26,0.0,26.0,480.0,0.05416666666666667
264,TMF015,3,NOT,2023-12-27,0.0,0.0,480.0,0.0
265,TMF015,3,MAT,2023-12-27,0.0,18.0,480.0,0.0375
266,TMF015,3,VES,2023-12-27,0.0,0.0,480.0,0.0
267,TMF015,3,NOT,2023-12-28,0.0,0.0,480.0,0.0
268,TMF015,3,MAT,2023-12-28,0.0,2.0,480.0,0.004166666666666667
269,TMF015,3,VES,2023-12-28,0.0,0.0,480.0,0.0
270,TMF015,3,NOT,2023-12-29,0.0,0.0,480.0,0.0
271,TMF015,3,MAT,2023-12-29,0.0,4.0,480.0,0.008333333333333333
272,TMF015,3,VES,2023-12-29,0.0,0.0,480.0,0.0
273,TMF015,3,NOT,2023-12-30,0.0,0.0,480.0,0.0
274,TMF015,3,MAT,2023-12-30,0.0,0.0,480.0,0.0
275,TMF015,3,VES,2023-12-30,0.0,0.0,480.0,0.0
276,TMF015,3,NOT,2023-12-31,0.0,0.0,480.0,0.0
277,TMF015,3,MAT,2023-12-31,0.0,0.0,480.0,0.0
278,TMF015,3,VES,2023-12-31,0.0,0.0,480.0,0.0
279,TMF011,4,NOT,2023-12-01,0.0,0.0,480.0,0.0
280,TMF011,4,MAT,2023-12-01,0.0,32.0,480.0,0.06666666666666667
281,TMF011,4,VES,2023-12-01,0.0,0.0,480.0,0.0
282,TMF011,4,NOT,2023-12-02,0.0,0.0,480.0,0.0
283,TMF011,4,MAT,2023-12-02,0.0,0.0,480.0,0.0
284,TMF011,4,VES,2023-12-02,0.0,0.0,480.0,0.0
285,TMF011,4,NOT,2023-12-03,0.0,0.0,480.0,0.0
286,TMF011,4,MAT,2023-12-03,0.0,0.0,480.0,0.0
287,TMF011,4,VES,2023-12-03,0.0,0.0,480.0,0.0
288,TMF011,4,NOT,2023-12-04,0.0,0.0,480.0,0.0
289,TMF011,4,MAT,2023-12-04,0.0,10.0,480.0,0.020833333333333332
290,TMF011,4,VES,2023-12-04,0.0,30.0,480.0,0.0625
291,TMF011,4,NOT,2023-12-05,0.0,0.0,480.0,0.0
